x0,y0,x1,y1,score,label
23383,1597,23403,1619,0.4819,2
23338,1586,23367,1612,0.2571,2
23374,1530,23405,1555,0.1858,2
25267,1902,25302,1942,0.7769,1
25220,1900,25266,1940,0.7593,1
25182,1562,25244,1611,0.4329,2
25332,1898,25369,1940,0.6953,1
25284,1930,25324,1978,0.75,1
25308,1783,25344,1816,0.4385,1
25239,1861,25268,1904,0.7378,1
25267,1835,25296,1870,0.7085,1
25298,1873,25332,1920,0.625,1
25302,1737,25340,1774,0.6904,1
25177,1613,25243,1674,0.5366,1
25191,1893,25207,1930,0.6387,2
25242,1825,25268,1861,0.4329,2
24943,1822,24963,1854,0.6069,2
25282,1671,25322,1714,0.4116,2
25037,1864,25053,1907,0.2998,2
25234,1940,25267,1967,0.2389,1
25230,1613,25269,1672,0.198,2
25270,1671,25307,1706,0.1646,-100
25366,1862,25405,1908,0.7808,1
25363,1800,25406,1842,0.5918,1
25638,1705,25676,1734,0.4607,2
25581,1858,25609,1900,0.7266,2
25342,1748,25382,1786,0.4807,1
25561,1744,25588,1774,0.6758,2
25352,1914,25387,1960,0.4963,1
25520,1837,25555,1870,0.5127,2
25810,1924,25825,1942,0.5078,3
25750,1858,25769,1885,0.5728,2
25679,1698,25704,1726,0.5269,2
25409,1694,25446,1719,0.4543,2
25519,1740,25541,1770,0.4473,2
25660,1776,25678,1810,0.4587,2
25818,1898,25832,1916,0.2008,2
25499,1747,25518,1769,0.2656,2
25509,1744,25526,1771,0.161,2
25521,1831,25558,1845,0.163,2
25774,1796,25795,1828,0.1538,-100
26339,1774,26385,1807,0.6987,1
26088,1849,26112,1873,0.8022,3
26333,1828,26368,1855,0.5767,2
26299,1879,26351,1926,0.3679,2
26208,1806,26250,1842,0.478,1
25903,1932,25953,1972,0.7812,1
26109,1866,26141,1897,0.4519,2
26203,1897,26238,1924,0.5928,2
26299,1720,26327,1746,0.71,2
26017,1924,26049,1944,0.5469,2
26122,1936,26145,1964,0.4219,2
26186,1792,26228,1813,0.6758,2
25994,1743,26021,1768,0.6646,2
26055,1801,26091,1824,0.446,2
26202,1944,26230,1972,0.2859,2
26302,1611,26330,1642,0.5439,2
26338,1694,26358,1718,0.5264,2
25871,1882,25891,1896,0.3914,3
25960,1662,25993,1690,0.4648,2
26167,1817,26192,1840,0.1917,1
26344,1561,26377,1611,0.5063,2
26012,1652,26042,1674,0.4666,2
26111,1604,26140,1629,0.3376,2
25913,1918,25929,1932,0.2269,3
26022,1902,26067,1928,0.2268,2
25979,1878,26013,1912,0.2915,2
26179,1587,26197,1604,0.2593,2
25998,1942,26065,1962,0.2812,2
26288,1864,26302,1877,0.1517,3
26063,1765,26090,1792,0.2207,-100
